siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
85,大城,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 13:00",1.94
85,大城,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 13:00",1.4
85,大城,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 13:00",1.1
33,彰化,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 13:00",1.7
85,大城,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 13:00",32.2
85,大城,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 13:00",350
85,大城,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 13:00",3.8
33,彰化,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 14:00",359
34,線西,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 14:00",1
34,線西,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 14:00",0.17
34,線西,彰化縣,3,臭氧,O3,ppb,"2024-09-02 14:00",52.1
34,線西,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 14:00",17
85,大城,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 14:00",1.94
85,大城,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 14:00",12
85,大城,彰化縣,38,相對濕度,RH,%,"2024-09-02 14:00",83
85,大城,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 14:00",0.7
85,大城,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 14:00",37
33,彰化,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 14:00",5.2
33,彰化,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 14:00",0.37
85,大城,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 14:00",0
85,大城,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 14:00",32.3
85,大城,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 14:00",49
85,大城,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 14:00",4
85,大城,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 14:00",0
85,大城,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 14:00",1.94
85,大城,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 14:00",1.1
85,大城,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 14:00",1.2
85,大城,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 14:00",2.4
85,大城,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 14:00",25
85,大城,彰化縣,3,臭氧,O3,ppb,"2024-09-02 14:00",48.7
85,大城,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 14:00",0.09
85,大城,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 14:00",1.3
35,二林,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 14:00",324
