Time,kpt,Temperature,Humidity,Rain,day_off,Hour,Minute,label
2024-11-15,292,26.1,88,0.0,0,10,30,1
2024-11-15,306,26.1,88,0.0,0,10,45,1
2024-11-15,257,26.6,87,0.0,0,11,0,1
2024-11-15,319,26.6,87,0.0,0,11,15,1
2024-11-15,329,26.6,87,0.0,0,11,30,1
2024-11-15,364,26.6,87,0.0,0,11,45,1
2024-11-15,365,27.1,80,0.0,0,12,0,1
2024-11-15,357,27.1,80,0.0,0,12,15,1
2024-11-15,415,27.1,80,0.0,0,12,30,1
2024-11-15,389,27.1,80,0.0,0,12,45,1
2024-11-15,402,27.6,79,0.0,0,13,0,1
2024-11-15,411,27.6,79,0.0,0,13,15,1
2024-11-15,418,27.6,79,0.0,0,13,30,1
2024-11-15,408,27.6,79,0.0,0,13,45,1
2024-11-15,405,27.4,84,0.0,0,14,0,1
2024-11-15,418,27.4,84,0.0,0,14,15,1
2024-11-15,499,27.4,84,0.0,0,14,30,1
2024-11-15,550,27.4,84,0.0,0,14,45,1
2024-11-15,520,26.7,88,0.0,0,15,0,1
2024-11-15,523,26.7,88,0.0,0,15,15,1
2024-11-15,509,26.7,88,0.0,0,15,30,1
2024-11-15,488,26.7,88,0.0,0,15,45,1
2024-11-15,485,25.4,94,0.0,0,16,0,1
2024-11-15,471,25.4,94,0.0,0,16,15,1
2024-11-15,462,25.4,94,0.0,0,16,30,1
2024-11-15,467,25.4,94,0.0,0,16,45,1
2024-11-15,454,25.5,93,0.0,0,17,0,1
2024-11-15,454,25.5,93,0.0,0,17,15,1
2024-11-15,464,25.5,93,0.0,0,17,30,1
2024-11-15,480,25.5,93,0.0,0,17,45,1
2024-11-15,511,25.7,92,0.0,0,18,0,1
2024-11-15,491,25.7,92,0.0,0,18,15,1
2024-11-15,485,25.7,92,0.0,0,18,30,1
2024-11-15,472,25.7,92,0.0,0,18,45,1
2024-11-15,496,25.5,92,0.0,0,19,0,1
2024-11-15,498,25.5,92,0.0,0,19,15,1
2024-11-15,495,25.5,92,0.0,0,19,30,1
2024-11-15,483,25.5,92,0.0,0,19,45,1
2024-11-15,483,25.2,95,0.0,0,20,0,1
2024-11-15,479,25.2,95,0.0,0,20,15,1
2024-11-15,483,25.2,95,0.0,0,20,30,1
2024-11-15,472,25.2,95,0.0,0,20,45,1
2024-11-15,460,25.3,95,0.0,0,21,0,1
2024-11-15,465,25.3,95,0.0,0,21,15,1
2024-11-15,442,25.3,95,0.0,0,21,30,1
2024-11-15,453,25.3,95,0.0,0,21,45,1
2024-11-15,457,25.1,94,0.0,0,22,0,1
2024-11-15,450,25.1,94,0.0,0,22,15,1
2024-11-15,467,25.1,94,0.0,0,22,30,1
2024-11-15,484,25.1,94,0.0,0,22,45,1
2024-11-15,495,25.1,92,0.0,0,23,0,1
2024-11-15,457,25.1,92,0.0,0,23,15,1
2024-11-15,452,25.1,92,0.0,0,23,30,1
